subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Trump,3/12/2020,all,43.41946,49.55313,12:40:57  1 Apr 2020
Trump,3/11/2020,all,42.03708,50.29358,12:40:57  1 Apr 2020
Trump,3/11/2020,I,37.42329,47.84459,12:39:17  1 Apr 2020
Trump,3/11/2020,R,82.25789,11.21106,12:40:04  1 Apr 2020
Trump,3/11/2020,D,14.17272,79.74405,12:38:37  1 Apr 2020
Trump,3/10/2020,R,81.80374,11.20549,12:40:04  1 Apr 2020
Trump,3/10/2020,D,13.08511,80.65639,12:38:37  1 Apr 2020
Trump,3/10/2020,I,37.84291,47.70953,12:39:18  1 Apr 2020
Trump,3/10/2020,all,41.96673,48.49007,12:40:58  1 Apr 2020
Trump,3/9/2020,I,36.41323,49.48547,12:39:18  1 Apr 2020
Trump,3/9/2020,D,12.87934,81.078,12:38:37  1 Apr 2020
Trump,3/9/2020,all,41.98808,49.05228,12:40:58  1 Apr 2020
Trump,3/9/2020,R,81.63786,11.63483,12:40:05  1 Apr 2020
Trump,3/8/2020,all,41.8334,49.02211,12:40:58  1 Apr 2020
Trump,3/8/2020,D,11.82076,82.05677,12:38:38  1 Apr 2020
Trump,3/8/2020,R,81.8271,10.81881,12:40:05  1 Apr 2020
Trump,3/8/2020,I,36.40398,49.16154,12:39:18  1 Apr 2020
Trump,3/7/2020,R,79.52675,11.42742,12:40:05  1 Apr 2020
Trump,3/7/2020,all,40.90043,47.76109,12:40:59  1 Apr 2020
Trump,3/7/2020,I,37.10144,46.14415,12:39:18  1 Apr 2020
Trump,3/7/2020,D,13.62163,79.11842,12:38:38  1 Apr 2020
Trump,3/6/2020,all,41.50237,46.32137,12:40:59  1 Apr 2020
Trump,3/6/2020,D,15.82188,75.616,12:38:38  1 Apr 2020
Trump,3/6/2020,R,80.05597,11.50376,12:40:05  1 Apr 2020
Trump,3/6/2020,I,37.92994,43.72763,12:39:19  1 Apr 2020
Trump,3/5/2020,R,80.05597,11.50376,12:40:06  1 Apr 2020
Trump,3/5/2020,I,37.92994,43.72763,12:39:19  1 Apr 2020
Trump,3/5/2020,all,41.50237,46.32137,12:40:59  1 Apr 2020
Trump,3/5/2020,D,15.82188,75.616,12:38:38  1 Apr 2020
Trump,3/4/2020,I,38.39933,42.38465,12:39:19  1 Apr 2020
Trump,3/4/2020,R,81.00203,11.50597,12:40:06  1 Apr 2020
Trump,3/4/2020,D,17.2728,73.98537,12:38:39  1 Apr 2020
Trump,3/4/2020,all,42.19885,45.43851,12:41:00  1 Apr 2020
Trump,3/3/2020,R,81.00203,11.50597,12:40:06  1 Apr 2020
Trump,3/3/2020,all,42.19885,45.43851,12:41:00  1 Apr 2020
Trump,3/3/2020,I,38.39933,42.38465,12:39:19  1 Apr 2020
Trump,3/3/2020,D,17.2728,73.98537,12:38:39  1 Apr 2020
