start_date,end_date,pollster,sponsor,sample_size,population,party,subject,tracking,text,approve,disapprove,url
2020-06-05,2020-06-07,Morning Consult,"",806,a,D,Trump,FALSE,Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump,10,87,https://assets.morningconsult.com/wp-uploads/2020/06/08131854/200617_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-06-05,2020-06-07,Morning Consult,"",714,a,I,Trump,FALSE,Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump,31,55,https://assets.morningconsult.com/wp-uploads/2020/06/08131854/200617_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-06-05,2020-06-07,YouGov,Huffington Post,1000,a,all,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling issues related to the coronavirus?,43,50,https://docs.cdn.yougov.com/4x2nsulvy0/tabs_HP_Coronavirus_20200605.pdf
2020-06-05,2020-06-07,YouGov,Huffington Post,247,a,R,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling issues related to the coronavirus?,86,10,https://docs.cdn.yougov.com/4x2nsulvy0/tabs_HP_Coronavirus_20200605.pdf
2020-06-05,2020-06-07,YouGov,Huffington Post,326,a,D,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling issues related to the coronavirus?,18,81,https://docs.cdn.yougov.com/4x2nsulvy0/tabs_HP_Coronavirus_20200605.pdf
2020-06-05,2020-06-07,YouGov,Huffington Post,423,a,I,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling issues related to the coronavirus?,32,54,https://docs.cdn.yougov.com/4x2nsulvy0/tabs_HP_Coronavirus_20200605.pdf
2020-06-06,2020-06-07,Morning Consult,Politico,1992,rv,all,Trump,FALSE,How would you rate each of the following on their handling of the coronavirus? President Donald Trump,34,61,https://assets.morningconsult.com/wp-uploads/2020/06/09212854/200630_crosstabs_POLITICO_RVs_v1_AUTO.pdf
2020-06-06,2020-06-07,Morning Consult,Politico,629,rv,R,Trump,FALSE,How would you rate each of the following on their handling of the coronavirus? President Donald Trump,76,22,https://assets.morningconsult.com/wp-uploads/2020/06/09212854/200630_crosstabs_POLITICO_RVs_v1_AUTO.pdf
2020-06-06,2020-06-07,Morning Consult,Politico,753,rv,D,Trump,FALSE,How would you rate each of the following on their handling of the coronavirus? President Donald Trump,6,90,https://assets.morningconsult.com/wp-uploads/2020/06/09212854/200630_crosstabs_POLITICO_RVs_v1_AUTO.pdf
2020-06-06,2020-06-07,Morning Consult,Politico,610,rv,I,Trump,FALSE,How would you rate each of the following on their handling of the coronavirus? President Donald Trump,26,65,https://assets.morningconsult.com/wp-uploads/2020/06/09212854/200630_crosstabs_POLITICO_RVs_v1_AUTO.pdf
2020-06-06,2020-06-13,Øptimus,"",1748,a,all,Trump,TRUE,"In general, do you approve or disapprove of President Donald Trump’s handling of the coronavirus outbreak?",43.1,56.9,https://github.com/optimus-forecasting-and-polling/0ptimus-Coronavirus-Tracking/tree/master/June-15-2020
2020-06-06,2020-06-13,Øptimus,"",498.18,a,R,Trump,TRUE,"In general, do you approve or disapprove of President Donald Trump’s handling of the coronavirus outbreak?",81.1,19,https://github.com/optimus-forecasting-and-polling/0ptimus-Coronavirus-Tracking/tree/master/June-15-2020
2020-06-06,2020-06-13,Øptimus,"",611.8,a,D,Trump,TRUE,"In general, do you approve or disapprove of President Donald Trump’s handling of the coronavirus outbreak?",16.5,83.6,https://github.com/optimus-forecasting-and-polling/0ptimus-Coronavirus-Tracking/tree/master/June-15-2020
2020-06-06,2020-06-13,Øptimus,"",634.524,a,I,Trump,TRUE,"In general, do you approve or disapprove of President Donald Trump’s handling of the coronavirus outbreak?",38.9,61.1,https://github.com/optimus-forecasting-and-polling/0ptimus-Coronavirus-Tracking/tree/master/June-15-2020
2020-06-07,2020-06-07,MSR Group,"",855,rv,all,Trump,FALSE,"Generally, what is your opinion of Donald Trump's handling of the COVID-19 crisis so far?",44.1,52.6,https://projects.fivethirtyeight.com/polls/20200609_National_2.pdf
2020-06-07,2020-06-09,YouGov,Economist,1500,a,all,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of COVID-19 outbreak?,44,50,https://docs.cdn.yougov.com/ngcg634q9k/econTabReport.pdf
2020-06-07,2020-06-09,YouGov,Economist,339,a,R,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of COVID-19 outbreak?,83,14,https://docs.cdn.yougov.com/ngcg634q9k/econTabReport.pdf
