subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-economy,2/27/2020,D,31.76107,36.60876,18.91237,7.950556,12:38:53  1 Apr 2020
concern-economy,2/27/2020,I,26.26993,35.37476,22.08708,8.459316,12:39:36  1 Apr 2020
concern-infected,2/27/2020,all,17.23306,24.82082,36.78787,20.83211,12:41:42  1 Apr 2020
concern-infected,2/26/2020,all,17.23306,24.82082,36.78787,20.83211,12:41:42  1 Apr 2020
concern-economy,2/26/2020,I,26.26993,35.37476,22.08708,8.459316,12:39:36  1 Apr 2020
concern-economy,2/26/2020,D,31.76107,36.60876,18.91237,7.950556,12:38:53  1 Apr 2020
concern-infected,2/26/2020,D,17.69887,26.51304,36.56023,18.96448,12:39:08  1 Apr 2020
concern-infected,2/26/2020,R,14.04707,23.56906,39.71723,22.33875,12:40:45  1 Apr 2020
concern-economy,2/26/2020,all,27.05002,36.08369,23.01477,10.46454,12:41:22  1 Apr 2020
concern-infected,2/26/2020,I,13.56196,28.04737,37.52386,20.42545,12:39:53  1 Apr 2020
concern-economy,2/26/2020,R,24.24578,38.69303,23.09414,9.609564,12:40:26  1 Apr 2020
concern-economy,2/25/2020,all,22.0955,34.82461,27.80162,14.70314,12:41:22  1 Apr 2020
concern-economy,2/25/2020,R,17.99912,35.38927,29.55351,14.4384,12:40:26  1 Apr 2020
concern-infected,2/25/2020,R,14.04707,23.56906,39.71723,22.33875,12:40:45  1 Apr 2020
concern-economy,2/25/2020,I,23.37666,30.97759,28.1918,12.1984,12:39:37  1 Apr 2020
concern-economy,2/25/2020,D,22.48432,38.72241,23.57918,11.27528,12:38:54  1 Apr 2020
concern-infected,2/25/2020,all,17.23306,24.82082,36.78787,20.83211,12:41:43  1 Apr 2020
concern-infected,2/25/2020,I,13.56196,28.04737,37.52386,20.42545,12:39:53  1 Apr 2020
concern-infected,2/25/2020,D,17.69887,26.51304,36.56023,18.96448,12:39:08  1 Apr 2020
concern-infected,2/24/2020,R,14.97945,21.8736,39.66142,23.06832,12:40:46  1 Apr 2020
concern-infected,2/24/2020,D,19.08383,25.37858,35.74471,19.38824,12:39:08  1 Apr 2020
concern-infected,2/24/2020,all,18.79168,23.40216,36.2464,21.01695,12:41:43  1 Apr 2020
concern-economy,2/24/2020,R,17.99912,35.38927,29.55351,14.4384,12:40:27  1 Apr 2020
concern-economy,2/24/2020,all,22.0955,34.82461,27.80162,14.70314,12:41:23  1 Apr 2020
concern-economy,2/24/2020,I,23.37666,30.97759,28.1918,12.1984,12:39:37  1 Apr 2020
concern-infected,2/24/2020,I,15.29387,26.57442,36.8214,19.94037,12:39:54  1 Apr 2020
concern-economy,2/24/2020,D,22.48432,38.72241,23.57918,11.27528,12:38:54  1 Apr 2020
concern-economy,2/23/2020,R,17.99912,35.38927,29.55351,14.4384,12:40:27  1 Apr 2020
concern-infected,2/23/2020,all,18.79168,23.40216,36.2464,21.01695,12:41:44  1 Apr 2020
concern-infected,2/23/2020,I,15.29387,26.57442,36.8214,19.94037,12:39:54  1 Apr 2020
concern-economy,2/23/2020,D,22.48432,38.72241,23.57918,11.27528,12:38:54  1 Apr 2020
concern-economy,2/23/2020,I,23.37666,30.97759,28.1918,12.1984,12:39:37  1 Apr 2020
concern-infected,2/23/2020,D,19.08383,25.37858,35.74471,19.38824,12:39:09  1 Apr 2020
concern-infected,2/23/2020,R,14.97945,21.8736,39.66142,23.06832,12:40:46  1 Apr 2020
concern-economy,2/23/2020,all,22.0955,34.82461,27.80162,14.70314,12:41:23  1 Apr 2020
concern-infected,2/22/2020,D,19.08383,25.37858,35.74471,19.38824,12:39:09  1 Apr 2020
concern-economy,2/22/2020,all,22.0955,34.82461,27.80162,14.70314,12:41:23  1 Apr 2020
concern-economy,2/22/2020,D,22.48432,38.72241,23.57918,11.27528,12:38:54  1 Apr 2020
concern-infected,2/22/2020,R,14.97945,21.8736,39.66142,23.06832,12:40:46  1 Apr 2020
concern-infected,2/22/2020,I,15.29387,26.57442,36.8214,19.94037,12:39:54  1 Apr 2020
concern-infected,2/22/2020,all,18.79168,23.40216,36.2464,21.01695,12:41:44  1 Apr 2020
concern-economy,2/22/2020,I,23.37666,30.97759,28.1918,12.1984,12:39:37  1 Apr 2020
concern-economy,2/22/2020,R,17.99912,35.38927,29.55351,14.4384,12:40:27  1 Apr 2020
concern-infected,2/21/2020,I,15.29387,26.57442,36.8214,19.94037,12:39:55  1 Apr 2020
concern-economy,2/21/2020,R,17.99912,35.38927,29.55351,14.4384,12:40:28  1 Apr 2020
concern-infected,2/21/2020,all,18.79168,23.40216,36.2464,21.01695,12:41:44  1 Apr 2020
concern-economy,2/21/2020,D,22.48432,38.72241,23.57918,11.27528,12:38:55  1 Apr 2020
concern-economy,2/21/2020,I,23.37666,30.97759,28.1918,12.1984,12:39:38  1 Apr 2020
concern-infected,2/21/2020,R,14.97945,21.8736,39.66142,23.06832,12:40:47  1 Apr 2020
concern-infected,2/21/2020,D,19.08383,25.37858,35.74471,19.38824,12:39:09  1 Apr 2020
concern-economy,2/21/2020,all,22.0955,34.82461,27.80162,14.70314,12:41:24  1 Apr 2020
concern-infected,2/20/2020,R,14.97945,21.8736,39.66142,23.06832,12:40:47  1 Apr 2020
concern-economy,2/20/2020,R,17.99912,35.38927,29.55351,14.4384,12:40:28  1 Apr 2020
concern-infected,2/20/2020,I,15.29387,26.57442,36.8214,19.94037,12:39:55  1 Apr 2020
concern-economy,2/20/2020,all,22.0955,34.82461,27.80162,14.70314,12:41:24  1 Apr 2020
concern-economy,2/20/2020,D,22.48432,38.72241,23.57918,11.27528,12:38:55  1 Apr 2020
concern-infected,2/20/2020,D,19.08383,25.37858,35.74471,19.38824,12:39:10  1 Apr 2020
concern-infected,2/20/2020,all,18.79168,23.40216,36.2464,21.01695,12:41:45  1 Apr 2020
concern-economy,2/20/2020,I,23.37666,30.97759,28.1918,12.1984,12:39:38  1 Apr 2020
concern-economy,2/19/2020,D,22.48432,38.72241,23.57918,11.27528,12:38:55  1 Apr 2020
concern-economy,2/19/2020,I,23.37666,30.97759,28.1918,12.1984,12:39:38  1 Apr 2020
concern-economy,2/19/2020,R,17.99912,35.38927,29.55351,14.4384,12:40:28  1 Apr 2020
concern-infected,2/19/2020,R,14.97945,21.8736,39.66142,23.06832,12:40:48  1 Apr 2020
concern-infected,2/19/2020,D,19.08383,25.37858,35.74471,19.38824,12:39:10  1 Apr 2020
concern-infected,2/19/2020,I,15.29387,26.57442,36.8214,19.94037,12:39:56  1 Apr 2020
concern-infected,2/19/2020,all,18.79168,23.40216,36.2464,21.01695,12:41:45  1 Apr 2020
concern-economy,2/19/2020,all,22.0955,34.82461,27.80162,14.70314,12:41:25  1 Apr 2020
concern-infected,2/18/2020,R,14.97945,21.8736,39.66142,23.06832,12:40:48  1 Apr 2020
concern-economy,2/18/2020,I,23.37666,30.97759,28.1918,12.1984,12:39:39  1 Apr 2020
concern-economy,2/18/2020,R,17.99912,35.38927,29.55351,14.4384,12:40:29  1 Apr 2020
concern-infected,2/18/2020,all,18.79168,23.40216,36.2464,21.01695,12:41:46  1 Apr 2020
concern-economy,2/18/2020,D,22.48432,38.72241,23.57918,11.27528,12:38:55  1 Apr 2020
concern-infected,2/18/2020,I,15.29387,26.57442,36.8214,19.94037,12:39:56  1 Apr 2020
concern-economy,2/18/2020,all,22.0955,34.82461,27.80162,14.70314,12:41:25  1 Apr 2020
concern-infected,2/18/2020,D,19.08383,25.37858,35.74471,19.38824,12:39:10  1 Apr 2020
concern-infected,2/17/2020,D,16.86189,26.25249,37.74754,17.83871,12:39:11  1 Apr 2020
concern-economy,2/17/2020,I,22.22401,28.86735,22.33297,10.33407,12:39:39  1 Apr 2020
concern-infected,2/17/2020,R,16.53455,22.02879,39.57367,21.40833,12:40:48  1 Apr 2020
concern-infected,2/17/2020,all,16.64304,24.74788,37.29169,19.93855,12:41:46  1 Apr 2020
concern-economy,2/17/2020,D,25.61529,33.01375,22.75302,7.713459,12:38:56  1 Apr 2020
concern-economy,2/17/2020,R,20.76514,33.7718,28.86233,9.124176,12:40:29  1 Apr 2020
concern-economy,2/17/2020,all,23.04664,32.23393,24.09352,8.812954,12:41:25  1 Apr 2020
concern-infected,2/17/2020,I,13.06601,27.45469,34.12529,20.87791,12:39:56  1 Apr 2020
concern-economy,2/16/2020,D,25.61529,33.01375,22.75302,7.713459,12:38:56  1 Apr 2020
concern-infected,2/16/2020,all,16.64304,24.74788,37.29169,19.93855,12:41:46  1 Apr 2020
concern-economy,2/16/2020,I,22.22401,28.86735,22.33297,10.33407,12:39:39  1 Apr 2020
concern-infected,2/16/2020,D,16.86189,26.25249,37.74754,17.83871,12:39:11  1 Apr 2020
concern-economy,2/16/2020,R,20.76514,33.7718,28.86233,9.124176,12:40:29  1 Apr 2020
concern-infected,2/16/2020,R,16.53455,22.02879,39.57367,21.40833,12:40:49  1 Apr 2020
concern-economy,2/16/2020,all,23.04664,32.23393,24.09352,8.812954,12:41:25  1 Apr 2020
concern-infected,2/16/2020,I,13.06601,27.45469,34.12529,20.87791,12:39:56  1 Apr 2020
concern-economy,2/15/2020,I,22.22401,28.86735,22.33297,10.33407,12:39:39  1 Apr 2020
concern-economy,2/15/2020,D,25.61529,33.01375,22.75302,7.713459,12:38:56  1 Apr 2020
concern-infected,2/15/2020,I,9.883175,26.26827,37.1772,22.26827,12:39:57  1 Apr 2020
concern-infected,2/15/2020,R,10.8842,24.38882,42.01149,22.05178,12:40:49  1 Apr 2020
concern-infected,2/15/2020,D,14.53204,28.77338,39.43763,15.94853,12:39:11  1 Apr 2020
concern-economy,2/15/2020,all,23.04664,32.23393,24.09352,8.812954,12:41:26  1 Apr 2020
concern-infected,2/15/2020,all,11.76967,26.2814,39.11594,19.9862,12:41:47  1 Apr 2020
concern-economy,2/15/2020,R,20.76514,33.7718,28.86233,9.124176,12:40:29  1 Apr 2020
