subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-infected,3/26/2020,I,30.92396,37.95203,20.16117,10.29871,12:39:42  1 Apr 2020
concern-economy,3/25/2020,R,61.43008,27.78997,5.753829,3.961035,12:40:15  1 Apr 2020
concern-infected,3/25/2020,I,30.99783,37.93853,20.21321,10.25304,12:39:43  1 Apr 2020
concern-economy,3/25/2020,D,69.04337,22.83948,4.324997,2.958229,12:38:44  1 Apr 2020
concern-infected,3/25/2020,R,24.09579,38.94638,25.30794,11.11422,12:40:33  1 Apr 2020
concern-economy,3/25/2020,I,60.48669,26.57236,6.374894,4.929047,12:39:26  1 Apr 2020
concern-economy,3/25/2020,all,61.76898,26.58788,6.70517,4.107953,12:41:09  1 Apr 2020
concern-infected,3/25/2020,D,41.14916,38.14273,14.9057,4.857545,12:38:59  1 Apr 2020
concern-infected,3/25/2020,all,33.14785,38.27965,19.45248,8.682321,12:41:30  1 Apr 2020
concern-infected,3/24/2020,D,41.24197,37.06608,15.6502,5.245858,12:38:59  1 Apr 2020
concern-infected,3/24/2020,I,28.35106,36.84883,22.46036,11.61395,12:39:43  1 Apr 2020
concern-economy,3/24/2020,I,60.48669,26.57236,6.374894,4.929047,12:39:27  1 Apr 2020
concern-economy,3/24/2020,all,61.76898,26.58788,6.70517,4.107953,12:41:10  1 Apr 2020
concern-economy,3/24/2020,D,69.04337,22.83948,4.324997,2.958229,12:38:45  1 Apr 2020
concern-infected,3/24/2020,all,31.98229,36.55869,21.36251,9.615735,12:41:30  1 Apr 2020
concern-economy,3/24/2020,R,61.43008,27.78997,5.753829,3.961035,12:40:15  1 Apr 2020
concern-infected,3/24/2020,R,23.1545,36.98452,26.74706,12.59654,12:40:33  1 Apr 2020
concern-economy,3/23/2020,all,60.35334,27.46916,7.125001,4.309179,12:41:10  1 Apr 2020
concern-infected,3/23/2020,R,21.66031,36.94806,27.93966,12.54686,12:40:34  1 Apr 2020
concern-economy,3/23/2020,I,59.03341,27.3425,7.06334,4.822551,12:39:27  1 Apr 2020
concern-economy,3/23/2020,R,58.83601,29.23522,6.596766,4.29898,12:40:15  1 Apr 2020
concern-infected,3/23/2020,D,40.0465,38.87621,14.9639,5.197875,12:39:00  1 Apr 2020
concern-economy,3/23/2020,D,67.78737,23.94003,4.242968,3.141814,12:38:45  1 Apr 2020
concern-infected,3/23/2020,I,28.64524,37.85695,21.73709,10.90329,12:39:43  1 Apr 2020
concern-infected,3/23/2020,all,30.37319,37.67455,21.41462,9.733807,12:41:31  1 Apr 2020
concern-infected,3/22/2020,I,27.80255,38.10896,21.56462,10.62826,12:39:44  1 Apr 2020
concern-infected,3/22/2020,R,21.05722,35.54436,28.79225,13.70698,12:40:34  1 Apr 2020
concern-infected,3/22/2020,D,38.44188,39.01647,16.05824,5.376478,12:39:00  1 Apr 2020
concern-economy,3/22/2020,I,59.03341,27.3425,7.06334,4.822551,12:39:27  1 Apr 2020
concern-economy,3/22/2020,all,60.35334,27.46916,7.125001,4.309179,12:41:11  1 Apr 2020
concern-economy,3/22/2020,R,58.83601,29.23522,6.596766,4.29898,12:40:16  1 Apr 2020
concern-economy,3/22/2020,D,67.78737,23.94003,4.242968,3.141814,12:38:46  1 Apr 2020
concern-infected,3/22/2020,all,29.75576,37.37769,21.7802,9.893347,12:41:31  1 Apr 2020
concern-infected,3/21/2020,D,31.26867,42.79507,18.6602,5.837464,12:39:00  1 Apr 2020
concern-economy,3/21/2020,all,53.70077,30.97646,9.469898,4.931635,12:41:11  1 Apr 2020
concern-infected,3/21/2020,all,25.003,39.2713,24.20459,10.07963,12:41:32  1 Apr 2020
concern-economy,3/21/2020,D,60.91819,27.99645,5.94557,3.69362,12:38:46  1 Apr 2020
concern-infected,3/21/2020,R,17.15548,35.73809,31.40637,14.77652,12:40:35  1 Apr 2020
concern-economy,3/21/2020,I,48.76966,31.79644,10.9459,6.015553,12:39:28  1 Apr 2020
concern-economy,3/21/2020,R,47.27557,35.38785,10.55769,5.547719,12:40:16  1 Apr 2020
concern-infected,3/21/2020,I,24.34949,39.30204,24.04733,10.7269,12:39:44  1 Apr 2020
concern-infected,3/20/2020,D,31.26867,42.79507,18.6602,5.837464,12:39:01  1 Apr 2020
concern-economy,3/20/2020,I,48.76966,31.79644,10.9459,6.015553,12:39:28  1 Apr 2020
concern-infected,3/20/2020,I,24.34949,39.30204,24.04733,10.7269,12:39:44  1 Apr 2020
concern-economy,3/20/2020,R,47.27557,35.38785,10.55769,5.547719,12:40:17  1 Apr 2020
concern-economy,3/20/2020,all,53.70077,30.97646,9.469898,4.931635,12:41:12  1 Apr 2020
concern-economy,3/20/2020,D,60.91819,27.99645,5.94557,3.69362,12:38:46  1 Apr 2020
concern-infected,3/20/2020,all,25.003,39.2713,24.20459,10.07963,12:41:32  1 Apr 2020
concern-infected,3/20/2020,R,17.15548,35.73809,31.40637,14.77652,12:40:35  1 Apr 2020
concern-economy,3/19/2020,all,50.60361,32.89194,10.26075,5.279888,12:41:12  1 Apr 2020
concern-economy,3/19/2020,R,42.42359,38.26851,11.9155,6.141367,12:40:17  1 Apr 2020
concern-infected,3/19/2020,D,31.26867,42.79507,18.6602,5.837464,12:39:01  1 Apr 2020
concern-infected,3/19/2020,I,24.34949,39.30204,24.04733,10.7269,12:39:45  1 Apr 2020
concern-economy,3/19/2020,D,57.72382,30.43106,6.447897,3.933319,12:38:46  1 Apr 2020
concern-infected,3/19/2020,R,17.15548,35.73809,31.40637,14.77652,12:40:36  1 Apr 2020
concern-economy,3/19/2020,I,45.25984,33.78087,12.00886,6.318223,12:39:28  1 Apr 2020
concern-infected,3/19/2020,all,25.003,39.2713,24.20459,10.07963,12:41:33  1 Apr 2020
concern-infected,3/18/2020,D,31.43074,40.57258,19.22717,7.575848,12:39:01  1 Apr 2020
concern-infected,3/18/2020,R,15.18327,32.66383,32.49816,18.79136,12:40:36  1 Apr 2020
concern-infected,3/18/2020,I,22.19614,34.67978,26.97403,13.40149,12:39:45  1 Apr 2020
concern-infected,3/18/2020,all,23.81385,35.70097,25.93199,13.0988,12:41:33  1 Apr 2020
concern-economy,3/18/2020,all,50.60361,32.89194,10.26075,5.279888,12:41:13  1 Apr 2020
concern-economy,3/18/2020,D,57.72382,30.43106,6.447897,3.933319,12:38:47  1 Apr 2020
concern-economy,3/18/2020,R,42.42359,38.26851,11.9155,6.141367,12:40:17  1 Apr 2020
concern-economy,3/18/2020,I,45.25984,33.78087,12.00886,6.318223,12:39:29  1 Apr 2020
concern-infected,3/17/2020,R,15.18327,32.66383,32.49816,18.79136,12:40:37  1 Apr 2020
concern-economy,3/17/2020,all,49.1097,33.55829,10.44021,5.541251,12:41:13  1 Apr 2020
concern-economy,3/17/2020,D,57.72382,30.43106,6.447897,3.933319,12:38:47  1 Apr 2020
concern-infected,3/17/2020,I,22.19614,34.67978,26.97403,13.40149,12:39:46  1 Apr 2020
concern-infected,3/17/2020,D,31.43074,40.57258,19.22717,7.575848,12:39:02  1 Apr 2020
concern-infected,3/17/2020,all,23.81385,35.70097,25.93199,13.0988,12:41:34  1 Apr 2020
concern-economy,3/17/2020,I,45.25984,33.78087,12.00886,6.318223,12:39:29  1 Apr 2020
concern-economy,3/17/2020,R,42.42359,38.26851,11.9155,6.141367,12:40:18  1 Apr 2020
concern-economy,3/16/2020,R,39.571,39.11938,13.22797,6.69426,12:40:18  1 Apr 2020
concern-infected,3/16/2020,I,23.0212,34.07345,25.42339,13.63531,12:39:46  1 Apr 2020
concern-infected,3/16/2020,R,15.94631,32.09924,31.61538,19.2083,12:40:37  1 Apr 2020
concern-economy,3/16/2020,I,42.61848,35.00355,12.25708,7.214548,12:39:29  1 Apr 2020
concern-infected,3/16/2020,all,24.48337,35.20506,25.31265,13.24397,12:41:34  1 Apr 2020
concern-infected,3/16/2020,D,32.8977,39.23873,18.46238,7.912267,12:39:02  1 Apr 2020
concern-economy,3/16/2020,all,46.80888,34.63609,11.19832,5.878379,12:41:13  1 Apr 2020
concern-economy,3/16/2020,D,54.34625,32.66179,7.253065,4.127516,12:38:47  1 Apr 2020
concern-economy,3/15/2020,all,39.34164,38.54871,12.85568,6.9835,12:41:14  1 Apr 2020
concern-infected,3/15/2020,all,23.93113,35.09267,25.36397,13.71973,12:41:35  1 Apr 2020
concern-infected,3/15/2020,I,21.58363,34.30689,25.22989,14.33525,12:39:46  1 Apr 2020
concern-infected,3/15/2020,D,32.31802,39.33573,18.30427,8.296312,12:39:02  1 Apr 2020
concern-economy,3/15/2020,I,35.4472,38.4765,13.29104,8.629422,12:39:30  1 Apr 2020
concern-infected,3/15/2020,R,16.28528,31.9638,31.11626,19.15112,12:40:37  1 Apr 2020
concern-economy,3/15/2020,R,33.91394,40.67275,15.91277,7.816096,12:40:19  1 Apr 2020
concern-economy,3/15/2020,D,47.62811,37.37265,8.311537,4.622873,12:38:48  1 Apr 2020
concern-infected,3/14/2020,R,15.88273,31.49968,32.0982,18.80376,12:40:38  1 Apr 2020
concern-economy,3/14/2020,I,32.51987,38.50931,13.68109,9.940608,12:39:30  1 Apr 2020
concern-economy,3/14/2020,D,44.52306,38.15966,9.530175,5.753419,12:38:48  1 Apr 2020
concern-infected,3/14/2020,I,19.48991,34.24652,27.24659,14.53136,12:39:47  1 Apr 2020
concern-economy,3/14/2020,R,30.40095,39.0015,18.84604,9.672273,12:40:19  1 Apr 2020
concern-economy,3/14/2020,all,35.67374,38.62224,14.15566,8.266136,12:41:14  1 Apr 2020
concern-infected,3/14/2020,all,22.32449,34.73867,27.14606,13.6966,12:41:35  1 Apr 2020
concern-infected,3/14/2020,D,30.8222,39.29176,19.15939,8.837978,12:39:03  1 Apr 2020
concern-economy,3/13/2020,I,31.21881,39.49695,14.22252,10.71532,12:39:31  1 Apr 2020
concern-infected,3/13/2020,D,30.8222,39.29176,19.15939,8.837978,12:39:03  1 Apr 2020
concern-economy,3/13/2020,R,28.29679,39.47987,20.38996,9.99834,12:40:20  1 Apr 2020
concern-economy,3/13/2020,all,34.51603,39.3511,14.94776,8.427719,12:41:15  1 Apr 2020
concern-infected,3/13/2020,I,19.48991,34.24652,27.24659,14.53136,12:39:47  1 Apr 2020
concern-infected,3/13/2020,R,15.88273,31.49968,32.0982,18.80376,12:40:38  1 Apr 2020
concern-economy,3/13/2020,D,43.10907,39.3173,9.995818,5.976566,12:38:48  1 Apr 2020
concern-infected,3/13/2020,all,22.32449,34.73867,27.14606,13.6966,12:41:35  1 Apr 2020
concern-economy,3/12/2020,D,46.04668,36.95534,10.17707,3.780973,12:38:49  1 Apr 2020
concern-infected,3/12/2020,all,22.46522,34.21249,28.38104,13.50168,12:41:36  1 Apr 2020
concern-economy,3/12/2020,all,36.40657,37.09594,16.33611,6.954912,12:41:15  1 Apr 2020
concern-economy,3/12/2020,I,32.35976,36.03041,16.6344,9.420208,12:39:31  1 Apr 2020
concern-economy,3/12/2020,R,28.15852,38.66323,21.56316,9.062483,12:40:20  1 Apr 2020
concern-infected,3/12/2020,I,18.00944,35.19026,28.8004,15.17031,12:39:47  1 Apr 2020
concern-infected,3/12/2020,R,14.16472,29.83731,34.17671,20.93921,12:40:39  1 Apr 2020
concern-infected,3/12/2020,D,30.04511,39.75801,20.91067,7.895757,12:39:03  1 Apr 2020
concern-economy,3/11/2020,all,36.40657,37.09594,16.33611,6.954912,12:41:16  1 Apr 2020
concern-infected,3/11/2020,D,26.86638,39.28613,25.11984,8.315257,12:39:04  1 Apr 2020
concern-economy,3/11/2020,R,28.15852,38.66323,21.56316,9.062483,12:40:20  1 Apr 2020
concern-infected,3/11/2020,I,17.89262,34.9189,29.24177,17.59725,12:39:48  1 Apr 2020
concern-economy,3/11/2020,D,46.04668,36.95534,10.17707,3.780973,12:38:49  1 Apr 2020
concern-economy,3/11/2020,I,32.35976,36.03041,16.6344,9.420208,12:39:31  1 Apr 2020
concern-infected,3/11/2020,all,22.98367,31.96408,30.09527,14.8835,12:41:36  1 Apr 2020
concern-infected,3/11/2020,R,13.43608,26.56988,34.75813,24.35831,12:40:39  1 Apr 2020
concern-economy,3/10/2020,D,46.04668,36.95534,10.17707,3.780973,12:38:49  1 Apr 2020
concern-economy,3/10/2020,I,32.35976,36.03041,16.6344,9.420208,12:39:32  1 Apr 2020
concern-infected,3/10/2020,all,22.65215,33.48423,27.68688,16.00412,12:41:37  1 Apr 2020
concern-infected,3/10/2020,R,13.43608,26.56988,34.75813,24.35831,12:40:40  1 Apr 2020
concern-infected,3/10/2020,D,26.86638,39.28613,25.11984,8.315257,12:39:04  1 Apr 2020
concern-economy,3/10/2020,R,28.15852,38.66323,21.56316,9.062483,12:40:21  1 Apr 2020
concern-infected,3/10/2020,I,17.89262,34.9189,29.24177,17.59725,12:39:48  1 Apr 2020
concern-economy,3/10/2020,all,36.40657,37.09594,16.33611,6.954912,12:41:16  1 Apr 2020
concern-infected,3/9/2020,R,14.04092,26.59605,33.75228,24.4476,12:40:40  1 Apr 2020
concern-economy,3/9/2020,all,36.19332,37.08662,16.75924,6.947712,12:41:17  1 Apr 2020
concern-infected,3/9/2020,all,23.66865,33.46734,26.49835,16.0255,12:41:37  1 Apr 2020
concern-infected,3/9/2020,I,19.30974,33.72178,28.60751,17.36629,12:39:49  1 Apr 2020
concern-economy,3/9/2020,D,45.27749,37.3757,10.60273,3.738528,12:38:50  1 Apr 2020
concern-economy,3/9/2020,I,32.28074,35.82262,17.27877,8.769401,12:39:32  1 Apr 2020
concern-infected,3/9/2020,D,27.91248,38.79145,23.84942,8.854381,12:39:04  1 Apr 2020
concern-economy,3/9/2020,R,28.26404,38.46998,21.76778,9.127847,12:40:21  1 Apr 2020
concern-infected,3/8/2020,D,27.91248,38.79145,23.84942,8.854381,12:39:05  1 Apr 2020
concern-economy,3/8/2020,all,36.48623,37.13647,17.00293,7.292588,12:41:17  1 Apr 2020
concern-economy,3/8/2020,R,28.05463,38.50407,22.05175,9.808756,12:40:22  1 Apr 2020
concern-economy,3/8/2020,D,45.81101,37.32021,10.56001,3.916556,12:38:50  1 Apr 2020
concern-infected,3/8/2020,I,19.30974,33.72178,28.60751,17.36629,12:39:49  1 Apr 2020
concern-infected,3/8/2020,all,21.2486,33.73693,27.75886,16.3986,12:41:38  1 Apr 2020
concern-infected,3/8/2020,R,14.04092,26.59605,33.75228,24.4476,12:40:41  1 Apr 2020
concern-economy,3/8/2020,I,32.56488,35.92672,18.12875,9.56776,12:39:32  1 Apr 2020
concern-economy,3/7/2020,D,45.68451,37.42518,10.38116,2.993838,12:38:50  1 Apr 2020
concern-economy,3/7/2020,I,35.13528,36.25943,17.52849,5.028556,12:39:33  1 Apr 2020
concern-economy,3/7/2020,all,35.99716,37.02574,17.99528,5.945516,12:41:18  1 Apr 2020
concern-infected,3/7/2020,all,20.35724,31.13004,31.81836,15.41027,12:41:38  1 Apr 2020
concern-economy,3/7/2020,R,27.25704,38.27137,22.99654,8.953536,12:40:22  1 Apr 2020
concern-infected,3/7/2020,R,15.03627,25.3951,35.25424,23.29408,12:40:41  1 Apr 2020
concern-infected,3/7/2020,D,24.13313,37.41564,28.17367,8.903619,12:39:05  1 Apr 2020
concern-infected,3/7/2020,I,15.95622,30.93692,34.47162,16.48663,12:39:49  1 Apr 2020
concern-economy,3/6/2020,I,35.13528,36.25943,17.52849,5.028556,12:39:33  1 Apr 2020
concern-infected,3/6/2020,R,15.03627,25.3951,35.25424,23.29408,12:40:42  1 Apr 2020
concern-infected,3/6/2020,D,24.13313,37.41564,28.17367,8.903619,12:39:05  1 Apr 2020
concern-infected,3/6/2020,all,20.35724,31.13004,31.81836,15.41027,12:41:39  1 Apr 2020
concern-economy,3/6/2020,all,35.99716,37.02574,17.99528,5.945516,12:41:18  1 Apr 2020
concern-infected,3/6/2020,I,15.95622,30.93692,34.47162,16.48663,12:39:50  1 Apr 2020
concern-economy,3/6/2020,R,27.25704,38.27137,22.99654,8.953536,12:40:22  1 Apr 2020
concern-economy,3/6/2020,D,45.68451,37.42518,10.38116,2.993838,12:38:51  1 Apr 2020
concern-economy,3/5/2020,R,27.25704,38.27137,22.99654,8.953536,12:40:23  1 Apr 2020
concern-economy,3/5/2020,D,45.68451,37.42518,10.38116,2.993838,12:38:51  1 Apr 2020
concern-economy,3/5/2020,all,35.99716,37.02574,17.99528,5.945516,12:41:19  1 Apr 2020
concern-infected,3/5/2020,all,20.35724,31.13004,31.81836,15.41027,12:41:39  1 Apr 2020
concern-infected,3/5/2020,R,15.03627,25.3951,35.25424,23.29408,12:40:42  1 Apr 2020
concern-economy,3/5/2020,I,35.13528,36.25943,17.52849,5.028556,12:39:34  1 Apr 2020
concern-infected,3/5/2020,D,24.13313,37.41564,28.17367,8.903619,12:39:06  1 Apr 2020
concern-infected,3/5/2020,I,15.95622,30.93692,34.47162,16.48663,12:39:50  1 Apr 2020
concern-infected,3/4/2020,I,15.95622,30.93692,34.47162,16.48663,12:39:50  1 Apr 2020
concern-economy,3/4/2020,D,43.05831,38.17753,11.38893,3.019924,12:38:51  1 Apr 2020
concern-economy,3/4/2020,I,32.29952,37.05886,18.07249,4.151365,12:39:34  1 Apr 2020
concern-economy,3/4/2020,all,35.88961,35.58086,19.00787,6.206765,12:41:19  1 Apr 2020
concern-economy,3/4/2020,R,30.32087,32.43932,24.61383,10.29114,12:40:23  1 Apr 2020
concern-infected,3/4/2020,R,15.03627,25.3951,35.25424,23.29408,12:40:42  1 Apr 2020
concern-infected,3/4/2020,all,20.35724,31.13004,31.81836,15.41027,12:41:39  1 Apr 2020
concern-infected,3/4/2020,D,24.13313,37.41564,28.17367,8.903619,12:39:06  1 Apr 2020
concern-economy,3/3/2020,I,32.29952,37.05886,18.07249,4.151365,12:39:34  1 Apr 2020
concern-infected,3/3/2020,I,15.95622,30.93692,34.47162,16.48663,12:39:51  1 Apr 2020
concern-economy,3/3/2020,all,35.88961,35.58086,19.00787,6.206765,12:41:19  1 Apr 2020
concern-infected,3/3/2020,D,24.13313,37.41564,28.17367,8.903619,12:39:06  1 Apr 2020
concern-economy,3/3/2020,R,30.32087,32.43932,24.61383,10.29114,12:40:24  1 Apr 2020
concern-economy,3/3/2020,D,43.05831,38.17753,11.38893,3.019924,12:38:52  1 Apr 2020
concern-infected,3/3/2020,all,20.35724,31.13004,31.81836,15.41027,12:41:40  1 Apr 2020
concern-infected,3/3/2020,R,15.03627,25.3951,35.25424,23.29408,12:40:43  1 Apr 2020
concern-infected,3/2/2020,D,18.79512,29.3567,32.72601,17.0383,12:39:06  1 Apr 2020
concern-infected,3/2/2020,all,17.72238,25.69686,34.42496,19.88146,12:41:40  1 Apr 2020
concern-economy,3/2/2020,D,39.91258,34.48071,13.72223,5.42774,12:38:52  1 Apr 2020
concern-economy,3/2/2020,I,30.19722,34.10998,16.65608,6.435311,12:39:35  1 Apr 2020
concern-economy,3/2/2020,all,31.69938,34.84913,18.94824,8.629734,12:41:20  1 Apr 2020
concern-economy,3/2/2020,R,29.69298,37.53965,19.88583,7.890453,12:40:24  1 Apr 2020
concern-infected,3/2/2020,I,13.58387,27.63071,35.09166,18.79425,12:39:51  1 Apr 2020
concern-infected,3/2/2020,R,14.66126,24.2394,37.12186,22.73005,12:40:43  1 Apr 2020
concern-infected,3/1/2020,I,13.58387,27.63071,35.09166,18.79425,12:39:52  1 Apr 2020
concern-economy,3/1/2020,all,31.69938,34.84913,18.94824,8.629734,12:41:20  1 Apr 2020
concern-infected,3/1/2020,all,17.72238,25.69686,34.42496,19.88146,12:41:41  1 Apr 2020
concern-infected,3/1/2020,D,18.79512,29.3567,32.72601,17.0383,12:39:07  1 Apr 2020
concern-economy,3/1/2020,R,29.69298,37.53965,19.88583,7.890453,12:40:24  1 Apr 2020
concern-economy,3/1/2020,D,39.91258,34.48071,13.72223,5.42774,12:38:52  1 Apr 2020
concern-economy,3/1/2020,I,30.19722,34.10998,16.65608,6.435311,12:39:35  1 Apr 2020
concern-infected,3/1/2020,R,14.66126,24.2394,37.12186,22.73005,12:40:44  1 Apr 2020
concern-economy,2/29/2020,D,31.76107,36.60876,18.91237,7.950556,12:38:52  1 Apr 2020
concern-infected,2/29/2020,all,17.72238,25.69686,34.42496,19.88146,12:41:41  1 Apr 2020
concern-infected,2/29/2020,D,18.79512,29.3567,32.72601,17.0383,12:39:07  1 Apr 2020
concern-economy,2/29/2020,I,26.26993,35.37476,22.08708,8.459316,12:39:35  1 Apr 2020
concern-economy,2/29/2020,all,27.05002,36.08369,23.01477,10.46454,12:41:21  1 Apr 2020
concern-economy,2/29/2020,R,24.24578,38.69303,23.09414,9.609564,12:40:25  1 Apr 2020
concern-infected,2/29/2020,R,14.66126,24.2394,37.12186,22.73005,12:40:44  1 Apr 2020
concern-infected,2/29/2020,I,13.58387,27.63071,35.09166,18.79425,12:39:52  1 Apr 2020
concern-infected,2/28/2020,R,14.66126,24.2394,37.12186,22.73005,12:40:44  1 Apr 2020
concern-infected,2/28/2020,I,13.58387,27.63071,35.09166,18.79425,12:39:52  1 Apr 2020
concern-economy,2/28/2020,all,27.05002,36.08369,23.01477,10.46454,12:41:21  1 Apr 2020
